,Bluecar counter,Utilib counter,Utilib 1.4 counter,Charge Slots,Charging Status,City,ID,Kind,Postal code,Public name,Rental status,Slots,Station type,Status,Subscription status,year,month,day,hour,minute
82,5,0,1,0,nonexistent,La Garenne-Colombes,lagarennecolombes-verdun-41,STATION,92250,La Garenne-Colombes/Verdun/41,operational,0,station,ok,nonexistent,2018,4,9,20,37
83,3,0,0,0,nonexistent,Paris,paris-jeanmoulin-34,STATION,75014,Paris/Jean Moulin/34,operational,2,station,ok,nonexistent,2018,4,7,5,22
84,5,0,0,0,nonexistent,Fontenay-aux-Roses,fontenayauxroses-robertmarchand-32,STATION,92260,Fontenay-aux-Roses/Robert Marchand/32,operational,0,station,ok,nonexistent,2018,4,5,20,58
85,0,0,0,0,nonexistent,Paris,paris-bourdon-41,SPACE,75004,Paris/Bourdon/41,operational,4,full_station,ok,operational,2018,4,1,7,55
86,0,0,0,2,operational,Paris,paris-colonelpierreavia-1,STATION,75015,Paris/Colonel Pierre Avia/1,operational,4,station,ok,nonexistent,2018,4,7,22,52
87,0,0,0,1,operational,Paris,paris-victoria-17,STATION,75001,Paris/Victoria/17,operational,5,station,ok,nonexistent,2018,4,8,6,8
88,2,0,0,0,nonexistent,AsniÃ¨res-sur-Seine,asnieressurseine-sadicarnot-10,STATION,92600,AsniÃ¨res-sur-Seine/Sadi Carnot/10,operational,0,station,ok,nonexistent,2018,4,5,23,23
89,3,0,0,0,nonexistent,Paris,paris-convention-171,STATION,75015,Paris/Convention/171,operational,0,station,ok,nonexistent,2018,4,7,10,58
90,0,0,0,0,nonexistent,Paris,paris-lobau-parking,PARKING,75004,Paris/Lobau/Parking,operational,4,station,ok,operational,2018,4,6,7,9
91,0,0,0,0,nonexistent,Paris,paris-saintmartin-17,STATION,75003,Paris/Saint-Martin/17,operational,2,station,ok,nonexistent,2018,4,8,11,48
92,4,0,0,0,nonexistent,Villejuif,villejuif-karlmarx-51,STATION,94800,Villejuif/Karl Marx/51,operational,1,station,ok,nonexistent,2018,4,5,6,2
93,2,0,0,1,operational,Paris,paris-pyrenees-137,SPACE,75020,Paris/PyrÃ©nÃ©es/137,operational,2,full_station,ok,operational,2018,4,6,7,17
94,6,0,0,0,nonexistent,Nanterre,nanterre-emilezola-61,STATION,92000,Nanterre/Ãmile Zola/61,operational,0,station,ok,nonexistent,2018,4,5,5,7
95,1,0,0,0,nonexistent,Paris,paris-ranelagh-10,STATION,75016,Paris/Ranelagh/10,operational,5,station,ok,nonexistent,2018,4,7,6,55
96,3,0,0,2,operational,Paris,paris-guypatin-10,STATION,75010,Paris/Guy Patin/10,operational,3,station,ok,nonexistent,2018,4,2,7,31
97,0,0,0,0,nonexistent,Paris,paris-iena-24,STATION,75016,Paris/IÃ©na/24,operational,4,station,ok,nonexistent,2018,4,1,6,20
98,3,0,0,0,operational,Paris,paris-lafayette-56,STATION,75009,Paris/La Fayette/56,operational,1,station,ok,nonexistent,2018,4,6,12,19
99,1,0,0,0,nonexistent,VerriÃ¨res-le-Buisson,verriereslebuisson-destiennedorves-204,STATION,91370,VerriÃ¨res-le-Buisson/D'Estienne d'Orves/204,operational,6,station,ok,nonexistent,2018,4,6,13,40
100,2,0,1,0,nonexistent,Paris,paris-malher-13,STATION,75004,Paris/Malher/13,operational,0,station,ok,nonexistent,2018,4,2,19,19
101,1,0,0,0,operational,Le Blanc-Mesnil,leblancmesnil-claudeterrasse-1,STATION,93150,Le Blanc-Mesnil/Claude Terrasse/1,operational,5,station,ok,nonexistent,2018,4,3,3,48
102,1,0,1,0,nonexistent,Paris,paris-emilezola-6,STATION,75015,Paris/Emile Zola/6,operational,2,station,ok,nonexistent,2018,4,5,18,58
103,2,0,0,0,nonexistent,Paris,paris-pyrenees-231,STATION,75020,Paris/PyrÃ©nÃ©es/231,operational,1,station,ok,nonexistent,2018,4,3,7,43
104,0,0,0,0,operational,Paris,paris-reaumur-116,STATION,75002,Paris/RÃ©aumur/116,operational,0,station,ok,nonexistent,2018,4,3,18,29
105,5,0,0,0,operational,Paris,paris-gerbert-11,STATION,75015,Paris/Gerbert/11,operational,0,station,ok,nonexistent,2018,4,4,23,50
106,1,0,0,0,nonexistent,La Garenne-Colombes,lagarennecolombes-colombes-126,STATION,92250,La Garenne-Colombes/Colombes/126,operational,6,station,ok,nonexistent,2018,4,1,9,58
107,6,0,0,0,nonexistent,Nanterre,nanterre-paulvaillantcouturier-94,STATION,92000,Nanterre/Paul Vaillant Couturier/94,operational,0,station,ok,nonexistent,2018,4,4,7,23
108,0,0,0,0,nonexistent,Vanves,vanves-pruvot-7,STATION,92170,Vanves/Pruvot/7,broken,0,station,closed,nonexistent,2018,4,4,8,51
109,3,2,1,0,nonexistent,Nanterre,nanterre-julesquentin-33,STATION,92000,Nanterre/Jules Quentin/33,operational,0,station,ok,nonexistent,2018,4,8,22,57
